E (keV)   Counts
0	23191
10	23578
20	409
30	386
40	376
50	363
60	346
70	335
80	321
90	302
100	301
110	429
120	588
130	650
140	706
150	761
160	801
170	842
180	887
190	913
200	923
210	938
220	948
230	964
240	984
250	970
260	935
270	907
280	848
290	803
300	777
310	751
320	723
330	680
340	648
350	631
360	600
370	573
380	546
390	521
400	500
410	473
420	476
430	468
440	441
450	428
460	427
470	409
480	400
490	382
500	376
510	522
520	885
530	856
540	459
550	300
560	281
570	275
580	258
590	247
600	241
610	242
620	248
630	245
640	231
650	223
660	215
670	205
680	195
690	194
700	194
710	188
720	186
730	183
740	183
750	181
760	177
770	178
780	192
790	216
800	209
810	176
820	158
830	151
840	152
850	151
860	153
870	148
880	148
890	144
900	143
910	138
920	135
930	135
940	136
950	131
960	129
970	126
980	123
990	123
1000	126
1010	127
1020	124
1030	121
1040	120
1050	120
1060	118
1070	115
1080	119
1090	116
1100	113
1110	110
1120	114
1130	116
1140	116
1150	122
1160	134
1170	142
1180	143
1190	130
1200	123
1210	129
1220	123
1230	114
1240	107
1250	108
1260	107
1270	105
1280	106
1290	105
1300	103
1310	102
1320	101
1330	101
1340	102
1350	105
1360	105
1370	105
1380	102
1390	101
1400	100
1410	100
1420	98
1430	98
1440	98
1450	98
1460	100
1470	102
1480	102
1490	100
1500	103
1510	102
1520	100
1530	99
1540	98
1550	97
1560	99
1570	96
1580	95
1590	92
1600	95
1610	97
1620	97
1630	98
1640	95
1650	94
1660	92
1670	92
1680	96
1690	105
1700	125
1710	151
1720	174
1730	171
1740	151
1750	124
1760	108
1770	100
1780	98
1790	97
1800	97
1810	96
1820	96
1830	97
1840	97
1850	98
1860	98
1870	98
1880	97
1890	97
1900	97
1910	98
1920	96
1930	101
1940	108
1950	114
1960	120
1970	117
1980	107
1990	93
2000	79
2010	71
2020	64
2030	60
2040	57
2050	52
2060	48
2070	45
2080	40
2090	36
2100	33
2110	31
2120	29
2130	28
2140	26
2150	26
2160	26
2170	30
2180	47
2190	95
2200	201
2210	368
2220	564
2230	699
2240	695
2250	555
2260	353
2270	185
2280	78
2290	30
2300	13
2310	8
2320	8
2330	8
2340	8
2350	8
2360	8
2370	8
2380	7
2390	6
2400	6
2410	6
2420	6
2430	6
2440	6
2450	7
2460	7
2470	8
2480	8
2490	7
2500	8
2510	8
2520	8
2530	8
2540	8
